	Ticker Symbol	Years	Period Ending	Period Ending Year	Total Revenue	Cost of Goods Sold	 Sales, General and Admin. 	Research and Development	Other Operating Items	GICS Sector	GICS Sub Industry	Gross Margin 1-(COGS/Total revenue)	Operating Margin [Operating profit or Income/Total revenue]	Operating profit [Gross profit - Total operatign expenses]	Gross profit [Total revenue - COGS]
49	AEP	Year 2	12/31/2013	2013	$14,813,500,000	$6,722,300,000	$3,329,800,000	$0	$1,712,500,000	Utilities	Electric Utilities	0.55	0.21	$3,048,900,000	$8,091,200,000
50	AEP	Year 3	12/31/2014	2014	$16,378,600,000	$7,685,700,000	$3,667,900,000	$0	$1,897,600,000	Utilities	Electric Utilities	0.53	0.19	$3,127,400,000	$8,692,900,000
51	AEP	Year 4	12/31/2015	2015	$16,453,200,000	$7,433,500,000	$3,676,500,000	$0	$2,009,700,000	Utilities	Electric Utilities	0.55	0.20	$3,333,500,000	$9,019,700,000
52	AFL	Year 1	12/31/2012	2012	$25,364,000,000	$17,074,000,000	$0	$0	$3,727,000,000	Financials	Life & Health Insurance	0.33	0.18	$4,563,000,000	$8,290,000,000
53	AFL	Year 2	12/31/2013	2013	$23,939,000,000	$15,341,000,000	$0	$0	$3,489,000,000	Financials	Life & Health Insurance	0.36	0.21	$5,109,000,000	$8,598,000,000
54	AFL	Year 3	12/31/2014	2014	$22,728,000,000	$14,373,000,000	$0	$0	$3,547,000,000	Financials	Life & Health Insurance	0.37	0.21	$4,808,000,000	$8,355,000,000
55	AFL	Year 4	12/31/2015	2015	$20,872,000,000	$13,049,000,000	$0	$0	$3,672,000,000	Financials	Life & Health Insurance	0.37	0.20	$4,151,000,000	$7,823,000,000
56	AIG	Year 1	12/31/2012	2012	$71,214,000,000	$37,745,000,000	$21,491,000,000	$0	$0	Financials	Property & Casualty Insurance	0.47	0.17	$11,978,000,000	$33,469,000,000
57	AIG	Year 2	12/31/2013	2013	$68,874,000,000	$34,660,000,000	$22,005,000,000	$0	$0	Financials	Property & Casualty Insurance	0.50	0.18	$12,209,000,000	$34,214,000,000
58	AIG	Year 3	12/31/2014	2014	$64,406,000,000	$33,611,000,000	$18,491,000,000	$0	$0	Financials	Property & Casualty Insurance	0.48	0.19	$12,304,000,000	$30,795,000,000
59	AIG	Year 4	12/31/2015	2015	$58,327,000,000	$36,581,000,000	$16,417,000,000	$0	$0	Financials	Property & Casualty Insurance	0.37	0.09	$5,329,000,000	$21,746,000,000
60	AIV	Year 1	12/31/2012	2012	$958,511,000	$386,355,000	$61,732,000	$0	$325,173,000	Real Estate	REITs	0.60	0.19	$185,251,000	$572,156,000
61	AIV	Year 2	12/31/2013	2013	$974,053,000	$380,051,000	$53,073,000	$0	$291,910,000	Real Estate	REITs	0.61	0.26	$249,019,000	$594,002,000
62	AIV	Year 3	12/31/2014	2014	$984,363,000	$380,964,000	$56,621,000	$0	$282,608,000	Real Estate	REITs	0.61	0.27	$264,170,000	$603,399,000
63	AIV	Year 4	12/31/2015	2015	$981,310,000	$365,248,000	$53,546,000	$0	$306,301,000	Real Estate	REITs	0.63	0.26	$256,215,000	$616,062,000
64	AIZ	Year 1	12/31/2013	2013	$9,047,657,000	$6,709,936,000	$0	$0	$1,470,287,000	Financials	Multi-line Insurance	0.26	0.10	$867,434,000	$2,337,721,000
65	AIZ	Year 2	12/31/2014	2014	$10,381,653,000	$8,093,563,000	$0	$0	$1,485,558,000	Financials	Multi-line Insurance	0.22	0.08	$802,532,000	$2,288,090,000
66	AIZ	Year 3	12/31/2015	2015	$10,325,494,000	$8,666,624,000	$0	$0	$1,402,573,000	Financials	Multi-line Insurance	0.16	0.02	$256,297,000	$1,658,870,000
67	AIZ	Year 4	12/31/2016	2016	$7,531,780,000	$5,251,228,000	$0	$0	$1,351,314,000	Financials	Multi-line Insurance	0.30	0.12	$929,238,000	$2,280,552,000
72	AKAM	Year 1	12/31/2012	2012	$1,373,947,000	$529,900,000	$433,448,000	$74,744,000	$20,962,000	Information Technology	Internet Software & Services	0.61	0.23	$314,893,000	$844,047,000
73	AKAM	Year 2	12/31/2013	2013	$1,577,922,000	$511,087,000	$535,598,000	$93,879,000	$21,547,000	Information Technology	Internet Software & Services	0.68	0.26	$415,811,000	$1,066,835,000
74	AKAM	Year 3	12/31/2014	2014	$1,963,874,000	$610,943,000	$704,880,000	$125,286,000	$32,057,000	Information Technology	Internet Software & Services	0.69	0.25	$490,708,000	$1,352,931,000
75	AKAM	Year 4	12/31/2015	2015	$2,197,448,000	$725,620,000	$829,253,000	$148,591,000	$27,067,000	Information Technology	Internet Software & Services	0.67	0.21	$466,917,000	$1,471,828,000
76	ALB	Year 1	12/31/2012	2012	$2,519,154,000	$1,620,311,000	$308,456,000	$78,919,000	$0	Materials	Specialty Chemicals	0.36	0.20	$511,468,000	$898,843,000
77	ALB	Year 2	12/31/2013	2013	$2,394,270,000	$1,543,799,000	$158,189,000	$82,246,000	$0	Materials	Specialty Chemicals	0.36	0.25	$610,036,000	$850,471,000
78	ALB	Year 3	12/31/2014	2014	$2,445,548,000	$1,674,700,000	$355,135,000	$88,310,000	$0	Materials	Specialty Chemicals	0.32	0.13	$327,403,000	$770,848,000
79	ALB	Year 4	12/31/2015	2015	$3,651,335,000	$2,454,463,000	$512,274,000	$102,871,000	$0	Materials	Specialty Chemicals	0.33	0.16	$581,727,000	$1,196,872,000
80	ALK	Year 1	12/31/2012	2012	$4,657,000,000	$2,319,000,000	$1,542,000,000	$0	$264,000,000	Industrials	Airlines	0.50	0.11	$532,000,000	$2,338,000,000
81	ALK	Year 2	12/31/2013	2013	$5,156,000,000	$2,355,000,000	$1,693,000,000	$0	$270,000,000	Industrials	Airlines	0.54	0.16	$838,000,000	$2,801,000,000
82	ALK	Year 3	12/31/2014	2014	$5,368,000,000	$2,325,000,000	$1,817,000,000	$0	$294,000,000	Industrials	Airlines	0.57	0.17	$932,000,000	$3,043,000,000
83	ALK	Year 4	12/31/2015	2015	$5,598,000,000	$1,935,000,000	$2,013,000,000	$0	$320,000,000	Industrials	Airlines	0.65	0.24	$1,330,000,000	$3,663,000,000
84	ALL	Year 1	12/31/2012	2012	$33,315,000,000	$21,618,000,000	$0	$0	$8,002,000,000	Financials	Property & Casualty Insurance	0.35	0.11	$3,695,000,000	$11,697,000,000
85	ALL	Year 2	12/31/2013	2013	$34,507,000,000	$19,828,000,000	$1,278,000,000	$0	$8,389,000,000	Financials	Property & Casualty Insurance	0.43	0.15	$5,012,000,000	$14,679,000,000
86	ALL	Year 3	12/31/2014	2014	$35,239,000,000	$21,193,000,000	$919,000,000	$0	$8,476,000,000	Financials	Property & Casualty Insurance	0.40	0.13	$4,651,000,000	$14,046,000,000
87	ALL	Year 4	12/31/2015	2015	$35,653,000,000	$22,837,000,000	$761,000,000	$0	$8,445,000,000	Financials	Property & Casualty Insurance	0.36	0.10	$3,610,000,000	$12,816,000,000
88	ALLE	Year 1	12/31/2013	2013	$2,069,600,000	$1,208,100,000	$483,100,000	$0	$0	Industrials	Building Products	0.42	0.18	$378,400,000	$861,500,000
89	ALLE	Year 2	12/31/2014	2014	$2,118,300,000	$1,264,600,000	$527,400,000	$0	$0	Industrials	Building Products	0.40	0.15	$326,300,000	$853,700,000
90	ALLE	Year 3	12/31/2015	2015	$2,068,100,000	$1,199,000,000	$510,500,000	$0	$0	Industrials	Building Products	0.42	0.17	$358,600,000	$869,100,000
91	ALLE	Year 4	12/31/2016	2016	$2,238,000,000	$1,252,700,000	$559,800,000	$0	$0	Industrials	Building Products	0.44	0.19	$425,500,000	$985,300,000
92	ALXN	Year 1	12/31/2013	2013	$1,551,346,000	$177,556,000	$493,726,000	$317,093,000	$417,000	Health Care	Biotechnology	0.89	0.36	$562,554,000	$1,373,790,000
93	ALXN	Year 2	12/31/2014	2014	$2,234,000,000	$174,000,000	$650,000,000	$514,000,000	$0	Health Care	Biotechnology	0.92	0.40	$896,000,000	$2,060,000,000
94	ALXN	Year 3	12/31/2015	2015	$2,604,000,000	$233,000,000	$927,000,000	$709,000,000	$117,000,000	Health Care	Biotechnology	0.91	0.24	$618,000,000	$2,371,000,000
95	ALXN	Year 4	12/31/2016	2016	$3,084,000,000	$258,000,000	$990,000,000	$757,000,000	$322,000,000	Health Care	Biotechnology	0.92	0.25	$757,000,000	$2,826,000,000
96	AMAT	Year 1	10/27/2013	2013	$7,509,000,000	$4,518,000,000	$898,000,000	$1,320,000,000	$0	Information Technology	Semiconductor Equipment	0.40	0.10	$773,000,000	$2,991,000,000
97	AMAT	Year 2	10/26/2014	2014	$9,072,000,000	$5,229,000,000	$895,000,000	$1,428,000,000	$0	Information Technology	Semiconductor Equipment	0.42	0.17	$1,520,000,000	$3,843,000,000
98	AMAT	Year 3	10/25/2015	2015	$9,659,000,000	$5,707,000,000	$808,000,000	$1,451,000,000	$0	Information Technology	Semiconductor Equipment	0.41	0.18	$1,693,000,000	$3,952,000,000
99	AMAT	Year 4	10/30/2016	2016	$10,825,000,000	$6,314,000,000	$819,000,000	$1,540,000,000	$0	Information Technology	Semiconductor Equipment	0.42	0.20	$2,152,000,000	$4,511,000,000
100	AME	Year 1	12/31/2012	2012	$3,334,213,000	$2,154,132,000	$380,532,000	$0	$53,677,000	Industrials	Electrical Components & Equipment	0.35	0.22	$745,872,000	$1,180,081,000
101	AME	Year 2	12/31/2013	2013	$3,594,136,000	$2,323,642,000	$398,177,000	$0	$57,238,000	Industrials	Electrical Components & Equipment	0.35	0.23	$815,079,000	$1,270,494,000
102	AME	Year 3	12/31/2014	2014	$4,021,964,000	$2,597,017,000	$462,637,000	$0	$63,724,000	Industrials	Electrical Components & Equipment	0.35	0.22	$898,586,000	$1,424,947,000
103	AME	Year 4	12/31/2015	2015	$3,974,295,000	$2,549,280,000	$448,592,000	$0	$68,707,000	Industrials	Electrical Components & Equipment	0.36	0.23	$907,716,000	$1,425,015,000
108	AMGN	Year 1	12/31/2013	2013	$18,676,000,000	$3,346,000,000	$5,380,000,000	$4,083,000,000	$0	Health Care	Biotechnology	0.82	0.31	$5,867,000,000	$15,330,000,000
109	AMGN	Year 2	12/31/2014	2014	$20,063,000,000	$4,422,000,000	$5,153,000,000	$4,297,000,000	$0	Health Care	Biotechnology	0.78	0.31	$6,191,000,000	$15,641,000,000
110	AMGN	Year 3	12/31/2015	2015	$21,662,000,000	$4,227,000,000	$4,895,000,000	$4,070,000,000	$0	Health Care	Biotechnology	0.80	0.39	$8,470,000,000	$17,435,000,000
111	AMGN	Year 4	12/31/2016	2016	$22,991,000,000	$4,162,000,000	$5,195,000,000	$3,840,000,000	$0	Health Care	Biotechnology	0.82	0.43	$9,794,000,000	$18,829,000,000
112	AMP	Year 1	12/31/2012	2012	$10,259,000,000	$1,899,000,000	$3,927,000,000	$0	$2,877,000,000	Financials	Asset Management & Custody Banks	0.81	0.15	$1,556,000,000	$8,360,000,000
113	AMP	Year 2	12/31/2013	2013	$11,230,000,000	$1,954,000,000	$3,862,000,000	$0	$3,132,000,000	Financials	Asset Management & Custody Banks	0.83	0.20	$2,282,000,000	$9,276,000,000
114	AMP	Year 3	12/31/2014	2014	$12,296,000,000	$1,982,000,000	$3,808,000,000	$0	$3,603,000,000	Financials	Asset Management & Custody Banks	0.84	0.24	$2,903,000,000	$10,314,000,000
115	AMP	Year 4	12/31/2015	2015	$12,200,000,000	$2,261,000,000	$3,750,000,000	$0	$3,630,000,000	Financials	Asset Management & Custody Banks	0.81	0.21	$2,559,000,000	$9,939,000,000
116	AMT	Year 1	12/31/2012	2012	$2,875,960,000	$722,479,000	$389,486,000	$0	$644,276,000	Real Estate	Specialized REITs	0.75	0.39	$1,119,719,000	$2,153,481,000
117	AMT	Year 2	12/31/2013	2013	$3,361,407,000	$859,873,000	$487,084,000	$0	$800,145,000	Real Estate	Specialized REITs	0.74	0.36	$1,214,305,000	$2,501,534,000
118	AMT	Year 3	12/31/2014	2014	$4,100,048,000	$1,094,265,000	$515,059,000	$0	$1,003,802,000	Real Estate	Specialized REITs	0.73	0.36	$1,486,922,000	$3,005,783,000
119	AMT	Year 4	12/31/2015	2015	$4,771,516,000	$1,308,868,000	$564,531,000	$0	$1,285,328,000	Real Estate	Specialized REITs	0.73	0.34	$1,612,789,000	$3,462,648,000
120	AMZN	Year 1	12/31/2013	2013	$74,452,000,000	$54,181,000,000	$19,526,000,000	$0	$0	Consumer Discretionary	Internet & Direct Marketing Retail	0.27	0.01	$745,000,000	$20,271,000,000
121	AMZN	Year 2	12/31/2014	2014	$88,988,000,000	$62,752,000,000	$26,058,000,000	$0	$0	Consumer Discretionary	Internet & Direct Marketing Retail	0.29	0.00	$178,000,000	$26,236,000,000
122	AMZN	Year 3	12/31/2015	2015	$107,006,000,000	$71,651,000,000	$33,122,000,000	$0	$0	Consumer Discretionary	Internet & Direct Marketing Retail	0.33	0.02	$2,233,000,000	$35,355,000,000
123	AMZN	Year 4	12/31/2016	2016	$135,987,000,000	$88,265,000,000	$43,536,000,000	$0	$0	Consumer Discretionary	Internet & Direct Marketing Retail	0.35	0.03	$4,186,000,000	$47,722,000,000
124	AN	Year 1	12/31/2013	2013	$17,517,600,000	$14,757,700,000	$1,924,300,000	$0	$95,300,000	Consumer Discretionary	Specialty Stores	0.16	0.04	$740,300,000	$2,759,900,000
125	AN	Year 2	12/31/2014	2014	$19,108,800,000	$16,120,100,000	$2,061,000,000	$0	$106,900,000	Consumer Discretionary	Specialty Stores	0.16	0.04	$820,800,000	$2,988,700,000
126	AN	Year 3	12/31/2015	2015	$20,862,000,000	$17,600,500,000	$2,245,600,000	$0	$127,400,000	Consumer Discretionary	Specialty Stores	0.16	0.04	$888,500,000	$3,261,500,000
127	AN	Year 4	12/31/2016	2016	$21,609,000,000	$18,295,800,000	$2,280,300,000	$0	$143,400,000	Consumer Discretionary	Specialty Stores	0.15	0.04	$889,500,000	$3,313,200,000
128	ANTM	Year 1	12/31/2012	2012	$61,497,200,000	$48,213,600,000	$8,680,500,000	$0	$233,000,000	Health Care	Managed Health Care	0.22	0.07	$4,370,100,000	$13,283,600,000
129	ANTM	Year 2	12/31/2013	2013	$71,023,500,000	$56,237,100,000	$9,952,900,000	$0	$245,300,000	Health Care	Managed Health Care	0.21	0.06	$4,588,200,000	$14,786,400,000
130	ANTM	Year 3	12/31/2014	2014	$73,874,100,000	$56,854,900,000	$11,748,400,000	$0	$220,900,000	Health Care	Managed Health Care	0.23	0.07	$5,049,900,000	$17,019,200,000
131	ANTM	Year 4	12/31/2015	2015	$79,156,500,000	$61,116,900,000	$12,534,800,000	$0	$230,100,000	Health Care	Managed Health Care	0.23	0.07	$5,274,700,000	$18,039,600,000
136	APA	Year 1	12/31/2012	2012	$16,428,000,000	$3,079,000,000	$1,333,000,000	$0	$6,881,000,000	Energy	Oil & Gas Exploration & Production	0.81	0.31	$5,135,000,000	$13,349,000,000
137	APA	Year 2	12/31/2013	2013	$14,771,000,000	$2,938,000,000	$1,286,000,000	$0	$5,866,000,000	Energy	Oil & Gas Exploration & Production	0.80	0.32	$4,681,000,000	$11,833,000,000
138	APA	Year 3	12/31/2014	2014	$12,691,000,000	$2,511,000,000	$1,095,000,000	$0	$9,720,000,000	Energy	Oil & Gas Exploration & Production	0.80	-0.05	-$635,000,000	$10,180,000,000
139	APA	Year 4	12/31/2015	2015	$6,383,000,000	$2,065,000,000	$791,000,000	$0	$29,372,000,000	Energy	Oil & Gas Exploration & Production	0.68	-4.05	-$25,845,000,000	$4,318,000,000
140	APC	Year 1	12/31/2013	2013	$14,581,000,000	$2,942,000,000	$2,256,000,000	$0	$3,927,000,000	Energy	Oil & Gas Exploration & Production	0.80	0.37	$5,456,000,000	$11,639,000,000
141	APC	Year 2	12/31/2014	2014	$18,470,000,000	$3,317,000,000	$2,725,000,000	$0	$4,550,000,000	Energy	Oil & Gas Exploration & Production	0.82	0.43	$7,878,000,000	$15,153,000,000
142	APC	Year 3	12/31/2015	2015	$8,698,000,000	$3,185,000,000	$2,000,000,000	$0	$4,603,000,000	Energy	Oil & Gas Exploration & Production	0.63	-0.13	-$1,090,000,000	$5,513,000,000
143	APC	Year 4	12/31/2016	2016	$7,869,000,000	$2,900,000,000	$2,094,000,000	$0	$4,301,000,000	Energy	Oil & Gas Exploration & Production	0.63	-0.18	-$1,426,000,000	$4,969,000,000
144	APD	Year 1	9/30/2013	2013	$10,180,400,000	$7,472,100,000	$1,018,600,000	$133,700,000	$0	Materials	Industrial Gases	0.27	0.15	$1,556,000,000	$2,708,300,000
145	APD	Year 2	9/30/2014	2014	$10,439,000,000	$7,629,900,000	$1,007,400,000	$139,800,000	$0	Materials	Industrial Gases	0.27	0.16	$1,661,900,000	$2,809,100,000
146	APD	Year 3	9/30/2015	2015	$9,894,900,000	$6,939,000,000	$895,300,000	$137,100,000	$0	Materials	Industrial Gases	0.30	0.19	$1,923,500,000	$2,955,900,000
147	APD	Year 4	9/30/2016	2016	$9,524,400,000	$6,402,700,000	$797,600,000	$132,000,000	$0	Materials	Industrial Gases	0.33	0.23	$2,192,100,000	$3,121,700,000
148	APH	Year 1	12/31/2012	2012	$4,292,100,000	$2,948,900,000	$512,900,000	$0	$0	Information Technology	Electronic Components	0.31	0.19	$830,300,000	$1,343,200,000
149	APH	Year 2	12/31/2013	2013	$4,614,700,000	$3,163,900,000	$548,000,000	$0	$0	Information Technology	Electronic Components	0.31	0.20	$902,800,000	$1,450,800,000
150	APH	Year 3	12/31/2014	2014	$5,345,500,000	$3,651,700,000	$645,100,000	$0	$0	Information Technology	Electronic Components	0.32	0.20	$1,048,700,000	$1,693,800,000
151	APH	Year 4	12/31/2015	2015	$5,568,700,000	$3,789,200,000	$669,100,000	$0	$0	Information Technology	Electronic Components	0.32	0.20	$1,110,400,000	$1,779,500,000
