                    Summary Statistic for Health Care & Customer Discretionary,,,,,,,,,,,,,,,,,,,
Ticker Symbol,Year,Period Ending,Period ending year,Total Revenue,Cost of Goods Sold," Sales, General and Admin. ",Research and Development,Other Operating Items,GICS Sector,GICS Sub Industry,Gross Margin ,Gross profit,Operating profit ,Operating Margin ,Summary Statistics for both Sectors,,,Shape,
KORS,Year 3,3/28/2015,2015,"$4,371,500,000","$1,723,800,000","$1,251,500,000",$0,"$138,400,000",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.6056731099,"$2,647,700,000","$1,257,800,000",0.2877273247,,,,,
KORS,Year 4,4/2/2016,2016,"$4,712,100,000","$1,914,900,000","$1,428,000,000",$0,"$183,200,000",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.5936206787,"$2,797,200,000","$1,186,000,000",0.2516924513,,,,,
NKE,Year 1,5/31/2013,2013,"$25,313,000,000","$14,279,000,000","$7,796,000,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.4359025007,"$11,034,000,000","$3,238,000,000",0.1279184609,,,,,
NKE,Year 2,5/31/2014,2014,"$27,799,000,000","$15,353,000,000","$8,766,000,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.4477139465,"$12,446,000,000","$3,680,000,000",0.1323788625,,,,,
NKE,Year 3,5/31/2015,2015,"$30,601,000,000","$16,534,000,000","$9,892,000,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.4596908598,"$14,067,000,000","$4,175,000,000",0.1364334499,,,,,
NKE,Year 4,5/31/2016,2016,"$32,376,000,000","$17,405,000,000","$10,469,000,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.4624104275,"$14,971,000,000","$4,502,000,000",0.13905362,,,,,
PVH,Year 1,2/3/2013,2013,"$6,043,000,000","$2,793,800,000","$2,594,300,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.5376799603,"$3,249,200,000","$654,900,000",0.1083733245,,,,,
PVH,Year 2,2/2/2014,2014,"$8,186,400,000","$3,967,100,000","$3,673,500,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.5154035962,"$4,219,300,000","$545,800,000",0.06667155282,,,,,
PVH,Year 3,2/1/2015,2015,"$8,241,200,000","$3,914,500,000","$3,713,600,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.5250084939,"$4,326,700,000","$613,100,000",0.07439450565,,,,,
PVH,Year 4,1/31/2016,2016,"$8,020,300,000","$3,858,700,000","$3,417,700,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.5188833335,"$4,161,600,000","$743,900,000",0.09275214144,,,,,
RL,Year 1,3/30/2013,2013,"$6,945,000,000","$2,789,000,000","$2,971,000,000",$0,"$27,000,000",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.5984161267,"$4,156,000,000","$1,158,000,000",0.1667386609,,,,,
RL,Year 2,3/29/2014,2014,"$7,450,000,000","$3,140,000,000","$3,142,000,000",$0,"$35,000,000",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.5785234899,"$4,310,000,000","$1,133,000,000",0.1520805369,,,,,
RL,Year 3,3/28/2015,2015,"$7,620,000,000","$3,242,000,000","$3,301,000,000",$0,"$25,000,000",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.5745406824,"$4,378,000,000","$1,052,000,000",0.1380577428,,,,,
RL,Year 4,4/2/2016,2016,"$7,405,000,000","$3,218,000,000","$3,389,000,000",$0,"$24,000,000",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.5654287643,"$4,187,000,000","$774,000,000",0.1045239703,,,,,
TIF,Year 1,1/31/2013,2013,"$3,794,249,000","$1,630,965,000","$1,466,067,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.5701481374,"$2,163,284,000","$697,217,000",0.1837562585,,,,,
TIF,Year 2,1/31/2014,2014,"$4,031,100,000","$1,690,700,000","$2,036,100,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.5805859443,"$2,340,400,000","$304,300,000",0.07548808018,,,,,
TIF,Year 3,1/31/2015,2015,"$4,249,900,000","$1,712,700,000","$1,645,800,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.5970022824,"$2,537,200,000","$891,400,000",0.2097461117,,,,,
TIF,Year 4,1/31/2016,2016,"$4,104,900,000","$1,613,600,000","$1,731,200,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.6069088163,"$2,491,300,000","$760,100,000",0.1851689444,,,,,
UA,Year 1,12/31/2012,2012,"$1,834,921,000","$955,624,000","$670,602,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.4792015569,"$879,297,000","$208,695,000",0.1137351417,,,,,
UA,Year 2,12/31/2013,2013,"$2,332,051,000","$1,195,381,000","$871,572,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.4874121535,"$1,136,670,000","$265,098,000",0.1136759016,,,,,
UA,Year 3,12/31/2014,2014,"$3,084,370,000","$1,572,164,000","$1,158,251,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.490280349,"$1,512,206,000","$353,955,000",0.1147576328,,,,,
UA,Year 4,12/31/2015,2015,"$3,963,313,000","$2,057,766,000","$1,497,000,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.4807964953,"$1,905,547,000","$408,547,000",0.1030821941,,,,,
UAA,Year 1,12/31/2012,2012,"$1,834,921,000","$955,624,000","$670,602,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.4792015569,"$879,297,000","$208,695,000",0.1137351417,,,,,
UAA,Year 2,12/31/2013,2013,"$2,332,051,000","$1,195,381,000","$871,572,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.4874121535,"$1,136,670,000","$265,098,000",0.1136759016,,,,,
UAA,Year 3,12/31/2014,2014,"$3,084,370,000","$1,572,164,000","$1,158,251,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.490280349,"$1,512,206,000","$353,955,000",0.1147576328,,,,,
UAA,Year 4,12/31/2015,2015,"$3,963,313,000","$2,057,766,000","$1,497,000,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.4807964953,"$1,905,547,000","$408,547,000",0.1030821941,,,,,
VFC,Year 1,12/31/2012,2012,"$10,879,855,000","$5,817,880,000","$3,596,708,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.4652612558,"$5,061,975,000","$1,465,267,000",0.1346770706,,,,,
VFC,Year 2,12/31/2013,2013,"$11,419,648,000","$5,931,469,000","$3,841,032,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.4805909079,"$5,488,179,000","$1,647,147,000",0.1442379835,,,,,
VFC,Year 3,1/3/2015,2015,"$12,282,161,000","$6,288,190,000","$4,159,885,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.4880225068,"$5,993,971,000","$1,834,086,000",0.1493292589,,,,,
VFC,Year 4,1/2/2016,2016,"$12,376,744,000","$6,393,800,000","$4,178,386,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.4834020967,"$5,982,944,000","$1,804,558,000",0.1458023209,,,,,
BWA,Year 1,12/31/2013,2013,"$7,436,600,000","$5,879,100,000","$702,300,000",$0,$0,Consumer Discretionary,Auto Parts & Equipment,0.2094371084,"$1,557,500,000","$855,200,000",0.1149987898,,,,,
BWA,Year 2,12/31/2014,2014,"$8,305,100,000","$6,548,700,000","$792,700,000",$0,$0,Consumer Discretionary,Auto Parts & Equipment,0.2114845095,"$1,756,400,000","$963,700,000",0.1160371338,,,,,
BWA,Year 3,12/31/2015,2015,"$8,023,200,000","$6,320,100,000","$763,400,000",$0,$0,Consumer Discretionary,Auto Parts & Equipment,0.2122719115,"$1,703,100,000","$939,700,000",0.1171228438,,,,,
BWA,Year 4,12/31/2016,2016,"$9,071,000,000","$7,137,900,000","$1,707,200,000",$0,$0,Consumer Discretionary,Auto Parts & Equipment,0.2131077059,"$1,933,100,000","$225,900,000",0.02490353875,,,,,
DLPH,Year 1,12/31/2013,2013,"$15,051,000,000","$12,274,000,000","$916,000,000",$0,"$97,000,000",Consumer Discretionary,Auto Parts & Equipment,0.1845060129,"$2,777,000,000","$1,764,000,000",0.1172015148,,,,,
DLPH,Year 2,12/31/2014,2014,"$15,499,000,000","$12,471,000,000","$1,036,000,000",$0,"$94,000,000",Consumer Discretionary,Auto Parts & Equipment,0.1953674431,"$3,028,000,000","$1,898,000,000",0.1224595135,,,,,
DLPH,Year 3,12/31/2015,2015,"$15,165,000,000","$12,155,000,000","$1,017,000,000",$0,"$93,000,000",Consumer Discretionary,Auto Parts & Equipment,0.1984833498,"$3,010,000,000","$1,900,000,000",0.1252884932,,,,,
DLPH,Year 4,12/31/2016,2016,"$16,661,000,000","$13,107,000,000","$1,145,000,000",$0,"$134,000,000",Consumer Discretionary,Auto Parts & Equipment,0.2133125263,"$3,554,000,000","$2,275,000,000",0.1365464258,,,,,
F,Year 1,12/31/2013,2013,"$146,917,000,000","$123,050,000,000","$10,850,000,000",$0,$0,Consumer Discretionary,Automobile Manufacturers,0.162452269,"$23,867,000,000","$13,017,000,000",0.08860104685,,,,,
F,Year 2,12/31/2014,2014,"$144,077,000,000","$131,903,000,000","$11,842,000,000",$0,$0,Consumer Discretionary,Automobile Manufacturers,0.08449648452,"$12,174,000,000","$332,000,000",0.002304323383,,,,,
F,Year 3,12/31/2015,2015,"$149,558,000,000","$131,409,000,000","$10,502,000,000",$0,$0,Consumer Discretionary,Automobile Manufacturers,0.121350914,"$18,149,000,000","$7,647,000,000",0.05113066503,,,,,
F,Year 4,12/31/2016,2016,"$151,800,000,000","$135,488,000,000","$12,196,000,000",$0,$0,Consumer Discretionary,Automobile Manufacturers,0.1074571805,"$16,312,000,000","$4,116,000,000",0.02711462451,,,,,
GM,Year 1,12/31/2013,2013,"$155,427,000,000","$137,373,000,000","$12,382,000,000",$0,$0,Consumer Discretionary,Automobile Manufacturers,0.1161574244,"$18,054,000,000","$5,672,000,000",0.03649301601,,,,,
GM,Year 2,12/31/2014,2014,"$155,929,000,000","$142,121,000,000","$12,158,000,000",$0,$0,Consumer Discretionary,Automobile Manufacturers,0.08855312354,"$13,808,000,000","$1,650,000,000",0.01058173912,,,,,
GM,Year 3,12/31/2015,2015,"$152,356,000,000","$134,054,000,000","$13,405,000,000",$0,$0,Consumer Discretionary,Automobile Manufacturers,0.1201265457,"$18,302,000,000","$4,897,000,000",0.03214182572,,,,,
GM,Year 4,12/31/2016,2016,"$166,380,000,000","$145,125,000,000","$11,710,000,000",$0,$0,Consumer Discretionary,Automobile Manufacturers,0.1277497295,"$21,255,000,000","$9,545,000,000",0.05736867412,,,,,
AAP,Year 1,12/29/2012,2012,"$6,205,003,000","$3,106,967,000","$2,440,721,000",$0,$0,Consumer Discretionary,Automotive Retail,0.4992803388,"$3,098,036,000","$657,315,000",0.1059330672,,,,,
AAP,Year 2,12/28/2013,2013,"$6,493,814,000","$3,241,668,000","$2,591,828,000",$0,$0,Consumer Discretionary,Automotive Retail,0.5008067678,"$3,252,146,000","$660,318,000",0.1016841566,,,,,
AAP,Year 3,1/3/2015,2015,"$9,843,861,000","$5,390,248,000","$3,601,903,000",$0,$0,Consumer Discretionary,Automotive Retail,0.4524254253,"$4,453,613,000","$851,710,000",0.086521945,,,,,
AAP,Year 4,1/2/2016,2016,"$9,737,018,000","$5,314,246,000","$3,596,992,000",$0,$0,Consumer Discretionary,Automotive Retail,0.4542224324,"$4,422,772,000","$825,780,000",0.08480830579,,,,,
DIS,Year 1,9/28/2013,2013,"$45,041,000,000","$25,034,000,000","$8,365,000,000",$0,"$2,192,000,000",Consumer Discretionary,Broadcasting & Cable TV,0.4441952887,"$20,007,000,000","$9,450,000,000",0.2098088408,,,,,
DIS,Year 2,9/27/2014,2014,"$48,813,000,000","$26,420,000,000","$8,565,000,000",$0,"$2,288,000,000",Consumer Discretionary,Broadcasting & Cable TV,0.4587507426,"$22,393,000,000","$11,540,000,000",0.2364124311,,,,,
DIS,Year 3,10/3/2015,2015,"$52,465,000,000","$28,364,000,000","$8,523,000,000",$0,"$2,354,000,000",Consumer Discretionary,Broadcasting & Cable TV,0.4593729153,"$24,101,000,000","$13,224,000,000",0.2520537501,,,,,
DIS,Year 4,10/1/2016,2016,"$55,632,000,000","$29,993,000,000","$8,754,000,000",$0,"$2,527,000,000",Consumer Discretionary,Broadcasting & Cable TV,0.4608678458,"$25,639,000,000","$14,358,000,000",0.2580888697,,,,,
SNI,Year 1,12/31/2012,2012,"$2,307,182,000","$610,836,000","$655,473,000",$0,"$107,591,000",Consumer Discretionary,Broadcasting & Cable TV,0.735245854,"$1,696,346,000","$933,282,000",0.404511651,,,,,
SNI,Year 2,12/31/2013,2013,"$2,530,809,000","$699,294,000","$729,055,000",$0,"$117,580,000",Consumer Discretionary,Broadcasting & Cable TV,0.7236875639,"$1,831,515,000","$984,880,000",0.3891561947,,,,,
SNI,Year 3,12/31/2014,2014,"$2,665,456,000","$778,896,000","$764,799,000",$0,"$128,582,000",Consumer Discretionary,Broadcasting & Cable TV,0.7077813327,"$1,886,560,000","$993,179,000",0.3726112905,,,,,
SNI,Year 4,12/31/2015,2015,"$3,018,227,000","$987,357,000","$785,179,000",$0,"$137,596,000",Consumer Discretionary,Broadcasting & Cable TV,0.6728685417,"$2,030,870,000","$1,108,095,000",0.3671344137,,,,,
VIAB,Year 1,9/30/2013,2013,"$13,794,000,000","$6,799,000,000","$2,829,000,000",$0,"$237,000,000",Consumer Discretionary,Broadcasting & Cable TV,0.5071045382,"$6,995,000,000","$3,929,000,000",0.2848339858,,,,,
VIAB,Year 2,9/30/2014,2014,"$13,783,000,000","$6,542,000,000","$2,899,000,000",$0,"$217,000,000",Consumer Discretionary,Broadcasting & Cable TV,0.5253573242,"$7,241,000,000","$4,125,000,000",0.2992817239,,,,,
VIAB,Year 3,9/30/2015,2015,"$13,268,000,000","$6,868,000,000","$2,860,000,000",$0,"$222,000,000",Consumer Discretionary,Broadcasting & Cable TV,0.4823635815,"$6,400,000,000","$3,318,000,000",0.2500753693,,,,,
VIAB,Year 4,9/30/2016,2016,"$12,488,000,000","$6,684,000,000","$2,851,000,000",$0,"$221,000,000",Consumer Discretionary,Broadcasting & Cable TV,0.4647661755,"$5,804,000,000","$2,732,000,000",0.2187700192,,,,,
CHTR,Year 1,12/31/2013,2013,"$8,155,000,000","$5,345,000,000","$47,000,000",$0,"$1,854,000,000",Consumer Discretionary,Cable & Satellite,0.3445738811,"$2,810,000,000","$909,000,000",0.1114653587,,,,,
CHTR,Year 2,12/31/2014,2014,"$9,108,000,000","$5,973,000,000","$62,000,000",$0,"$2,102,000,000",Consumer Discretionary,Cable & Satellite,0.3442028986,"$3,135,000,000","$971,000,000",0.106609574,,,,,
CHTR,Year 3,12/31/2015,2015,"$9,754,000,000","$6,426,000,000","$89,000,000",$0,"$2,125,000,000",Consumer Discretionary,Cable & Satellite,0.3411933566,"$3,328,000,000","$1,114,000,000",0.1142095551,,,,,
CHTR,Year 4,12/31/2016,2016,"$29,003,000,000","$18,655,000,000","$86,000,000",$0,"$6,907,000,000",Consumer Discretionary,Cable & Satellite,0.3567906768,"$10,348,000,000","$3,355,000,000",0.1156776885,,,,,
DISCA,Year 1,12/31/2013,2013,"$5,535,000,000","$1,689,000,000","$1,598,000,000",$0,"$276,000,000",Consumer Discretionary,Cable & Satellite,0.6948509485,"$3,846,000,000","$1,972,000,000",0.3562782294,,,,,
DISCA,Year 2,12/31/2014,2014,"$6,265,000,000","$2,124,000,000","$1,692,000,000",$0,"$329,000,000",Consumer Discretionary,Cable & Satellite,0.6609736632,"$4,141,000,000","$2,120,000,000",0.3383878691,,,,,
DISCA,Year 3,12/31/2015,2015,"$6,394,000,000","$2,343,000,000","$1,669,000,000",$0,"$330,000,000",Consumer Discretionary,Cable & Satellite,0.633562715,"$4,051,000,000","$2,052,000,000",0.320925868,,,,,
DISCA,Year 4,12/31/2016,2016,"$6,497,000,000","$2,432,000,000","$1,690,000,000",$0,"$322,000,000",Consumer Discretionary,Cable & Satellite,0.6256733877,"$4,065,000,000","$2,053,000,000",0.3159919963,,,,,
DISCK,Year 1,12/31/2013,2013,"$5,535,000,000","$1,689,000,000","$1,598,000,000",$0,"$276,000,000",Consumer Discretionary,Cable & Satellite,0.6948509485,"$3,846,000,000","$1,972,000,000",0.3562782294,,,,,
DISCK,Year 2,12/31/2014,2014,"$6,265,000,000","$2,124,000,000","$1,692,000,000",$0,"$329,000,000",Consumer Discretionary,Cable & Satellite,0.6609736632,"$4,141,000,000","$2,120,000,000",0.3383878691,,,,,
DISCK,Year 3,12/31/2015,2015,"$6,394,000,000","$2,343,000,000","$1,669,000,000",$0,"$330,000,000",Consumer Discretionary,Cable & Satellite,0.633562715,"$4,051,000,000","$2,052,000,000",0.320925868,,,,,
DISCK,Year 4,12/31/2016,2016,"$6,497,000,000","$2,432,000,000","$1,690,000,000",$0,"$322,000,000",Consumer Discretionary,Cable & Satellite,0.6256733877,"$4,065,000,000","$2,053,000,000",0.3159919963,,,,,
WYNN,Year 1,12/31/2012,2012,"$5,154,284,000","$3,251,575,000","$481,677,000",$0,"$373,199,000",Consumer Discretionary,Casinos & Gaming,0.369150982,"$1,902,709,000","$1,047,833,000",0.2032936097,,,,,
WYNN,Year 2,12/31/2013,2013,"$5,620,936,000","$3,478,822,000","$465,926,000",$0,"$371,051,000",Consumer Discretionary,Casinos & Gaming,0.381095604,"$2,142,114,000","$1,305,137,000",0.2321921118,,,,,
WYNN,Year 3,12/31/2014,2014,"$5,433,661,000","$3,316,311,000","$502,901,000",$0,"$314,119,000",Consumer Discretionary,Casinos & Gaming,0.3896728191,"$2,117,350,000","$1,300,330,000",0.2393101079,,,,,
WYNN,Year 4,12/31/2015,2015,"$4,075,883,000","$2,530,374,000","$475,328,000",$0,"$322,629,000",Consumer Discretionary,Casinos & Gaming,0.379183848,"$1,545,509,000","$747,552,000",0.1834086013,,,,,
BBY,Year 1,3/3/2012,2012,"$45,457,000,000","$34,473,000,000","$8,755,000,000",$0,$0,Consumer Discretionary,Computer & Electronics Retail,0.2416349517,"$10,984,000,000","$2,229,000,000",0.04903535209,,,,,
